,,,,,,,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
Electrodo,HANNA instruments,HI76330,K81N04E6T,ELE-DA-04,Desarrollo Analítico,"Instrumental II, en TIT-DA-01",Calibración,12,,,,,,,,,,,,,,,,,,,,,,,,
Electrodo,HANNA Instruments,Halo HI11102,E0FFF144DD8E,ELE-DA-05,Desarrollo Analítico,"Móvil (Análisis Instrumental I, Análisis Fisicoquímico)",Calibración,12,,,,,,,,,,,,,,,,,,,,,,,28-jul-25,
Electrodo,HANNA Instruments,Halo HI11102,E0FFF1450C90,ELE-DA-06,Desarrollo Analítico,Almacén de Validación,Calibración,12,,,,,,,,,,,,,,,,,,,,,,,24-jul-25,
Electrodo,HANNA instruments,HI 1053P,043897DN,ELE-LC-01,NA,NA,NA,NA,,,,,,,11-may-20,12-nov-20,,14-may-21,09-nov-21,,05-may-22,05-nov-22,,,,,,,,,,
Electrodo,HANNA instruments,HI 1131P,05060D8N,ELE-LC-02,NA,NA,NA,NA,,,,,,,11-may-20,12-nov-20,,14-may-21,09-nov-21,,05-may-22,05-nov-22,,,,,,,,,,
Electrodo,OAKTON,35805-04,38653,ELE-LC-03,NA,NA,NA,NA,,,,,,,,09-dic-20,,,13-dic-21,,02-dic-22,,,,04-dic-23,,,03-dic-24,,,,
Electrodo,OAKTON,35411-00,01X466601,ELE-LC-04,NA,NA,NA,NA,,,,,,,,14-dic-20,28-dic-20,,09-dic-21,,02-dic-22,,,,09-dic-23,,,,,,,
Electrodo,OAKTON,3002742,93X218819,ELE-LC-05,NA,NA,NA,NA,,,,,,,,,,,08-sep-21,,03-sep-22,,,,,,,,,,,
Electrodo,OAKTON,ND,ND,ELE-LC-06,NA,NA,NA,NA,,,,,,,,,,,,,,,,03-mar-23,,,20-mar-24,,,,,
Electrodo,OAKTON,Electrode WD-35805-04,EQ230426-69 2/5,ELE-LC-07,Control de Calidad,Análisis Fisicoquímicos,Calibración,12,,,,,,,,,,,,,,,,05-sep-23,,,,19-sep-24,,,,
Electrodo,Mettler Toledo,DM143-SC,0433092,ELE-LC-08,Control de Calidad,"Área de Balanzas, en TIT-LC-01",Calibración,12,,,,,,,,,,,,,,,,,,,17-may-24,,,,,
Electrodo,Mettler Toledo,DM141-SC,5173193,ELE-LC-09,Control de Calidad,"Área de Balanzas, en TIT-LC-01",Calibración,12,,,,,,,,,,,,,,,,,,,17-may-24,,,,,
Electrodo,Mettler Toledo,DGi 113-SC,0421057,ELE-LC-10,Control de Calidad,"Área de Balanzas, en TIT-LC-01",Calibración,12,,,,,,,,,,,,,,,,,,,17-may-24,,,,,
Electrodo,Mettler Toledo,DGi 111-SC,8126635,ELE-LC-11,Control de Calidad,"Área de Balanzas, en TIT-LC-01",Calibración,12,,,,,,,,,,,,,,,,,,,17-may-24,,,,,
Electrodo,Hanna Instruments,HALO HI11102,0CAE7DFADDEC,ELE-LC-12,Control de Calidad,Análisis Físicoquímicos ,Calibración,6,,,,,,,,,,,,,,,,,,,06-feb-24,22-ago-24,,19-feb-25,18-ago-25,
Electrodo,Thermo Eutech ,ND,303640,ELE-MI-01,Microbiología,Microbiología,Calibración,12,,,,,,,,,,,,,,,,,03-nov-23,,,04-nov-24,,,,
Electrodo,Oakton,35805-04,EQ240814-27,ELE-MI-02,Microbiología,"Preparación Microbiológica, en POT-LC-02",Calibración,12,,,,,,,,,,,,,,,,,,,,,,04-feb-25,,
Filtro HEPA 24*26*5 7/8,VECOFLOW,HE9T16SAMA,NA,FIL-MA-03,Mantenimiento,Microbiología,Calibración,12,,,,28-Mar-19,,,27-Mar-20,,,29-mar-21,,,28-mar-22,,,28-mar-23,,,04-mar-24,,,10-mar-25,,
Filtro HEPA 510 x 510 x 305 MM,Freudenberg,510 X 510 X 305 MM,SO2122000258/3000/D110026170/294/4/1,FIL-MA-10,Mantenimiento,"Piso Técnico, en UMA-MA-03",Calibración,12,,,,,,,,,,,,,,,,23-mar-23,27-nov-23,,,01-nov-24,,,,
Filtro HEPA 510 x 510 x 305 MM,Freudenberg,510 X 510 X 305 MM,SO2122000258/3000/D110026170/294/4/2,FIL-MA-11,Mantenimiento,"Piso Técnico, en UMA-MA-03",Calibración,12,,,,,,,,,,,,,,,,23-mar-23,27-nov-23,,,01-nov-24,,,,
"Filtro HEPA 24"" x 24"" x 11.5"" inyección",Greenfilt,ND,ND,FIL-MA-12,Mantenimiento,"Tercer piso, en UMA-MA-04",Calibración,12,,,,,,,,,,,,,,,,,,,,07-jun-24,,02-jun-25,,
"Filtro HEPA 24"" x 24"" x 11.5"" extracción",Greenfilt,ND,ND,FIL-MA-13,Mantenimiento,"Tercer piso, en UMA-MA-04",Calibración,12,,,,,,,,,,,,,,,,,,,,07-jun-24,,02-jun-25,,
Fusiómetro,Thermo Scientific,1101D,1877090373510,FUS-LC-01,Control de Calidad,Análisis Fisicoquímicos,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Humidostato,Honeywell,H6062A1000,2409,HUM-MA-01,Mantenimiento,"Tercer piso, en UMA-MA-04",Calibración,12,,,,,,,,,,,,,,,,,,,,07-jun-24,,02-jun-25,,
Lámpara UV,Analytik Jena US,UVP UVGL-58,95-0007-05,LUV-DA-01,Desarrollo Analítico,Móvil,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Lámpara UV,Entela,UVGL-58,1010.1-92,LUV-LC-01,Control de Calidad,Análisis Fisicoquímicos,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Lápiz de humo,Chimney ballon,Smoke pencil,NA,LAP-VA-01,Validación,"Móvil, Almacén de Validación",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Luxometro,Hanna Instruments,HI 97500,7500008101,LUX-DA-01,Desarrollo Analítico,Móvil,Calibración,12,,,,,,,,,,,,,,,,,,,22-ene-24,,03-dic-24,,,
Luxómetro,HIOKI,FT3424,230734195,LUX-VA-01,Validación,"Móvil, Almacén de Validación",Calibración,18,,,,,,,,,,,,,,,,,,,,03-oct-24,,,,
Manómetro ,USG,NA,NA,MAE-PR-01,NA,NA,NA,NA,22-Feb-18,,,21-Feb-19,,,,,,,,,,,,,,,,,,,,
Manómetro,C.A. NORGREEN CO.,NA,NA,MAE-PR-02,NA,NA,NA,NA,,10-Sep-18,,,,,,,,,,,,,,,,,,,,,,
Manómetro,NA,NA,NA,MAE-PR-03,NA,NA,NA,NA,12-Abr-18,,,11-Abr-19,,,03-Abr-20,,,04-mar-21,,,,,,,,,,,,,,
Manómetro,Ashcroft,NA,NA,MAE-PR-04,NA,NA,NA,NA,12-Abr-18,,,,,,,,,,,,,,,,,,,,,,,
Manómetro,MC,01 000127,4C65590658591,MAE-PR-05,NA,NA,NA,NA,12-Abr-18,,,11-Abr-19,,,03-Abr-20,,,04-mar-21,,,,,,,,,,,,,,
Manómetro,ND,ND,ND,MAN-LC-01,Control de Calidad,Almacén de Validación,Calibración,18,,14-Sep-18,,,06-Sep-19,,,04-sep-20,,,02-sep-21,,,,,,,,01-mar-24,,,,01-sep-25,
Manómetro,ND,ND,ND,MAN-PR-01,NA,NA,NA,NA,,,,,,,,,,,,,02-sep-22,,,,,,,,,,,
Manómetro,Winters,0-100 Psi,ND,MAN-VA-01,NA,NA,NA,NA,,11-Jul-18,,,26-Jul-19,,,06-jul-20,,,13-jul-21,,,,,,,,,,,,,
Manómetro ,SMC,PRESSURE GAGE,NA,MAB-PR-01,NA,NA,NA,NA,,10-Sep-18,,,06-Sep-19,,,04-sep-20,,,,,,,,,,,,,,,,
Manómetro ,SMC,PRESSURE GAGE,NA,MAB-PR-02,NA,NA,NA,NA,,10-Sep-18,,,06-Sep-19,,,04-sep-20,,,,,,,,,,,,,,,,
Manómetro de presión,NA,NA,NA,MAP-CP-01,Gestión de la Calidad,"Control en Proceso, en BOV-CP-01",Calibración,12,,24-Jul-18,,,18-Jul-19,,,17-jul-20,,,13-jul-21,,04-jul-22,,,03-jul-23,,,,01-jul-24,,,01-jul-25,
Manómetro de presión,ND,1010,ND,MAP-DA-01,Desarrollo Analítico,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-DA-01",NA,NA,16-Ago-18,,,03-sep-19,,,,03-sep-20,,,,,02-sep-22,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-DA-02,Desarrollo Analítico,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-DA-02",Calibración,12,07-Dic-18,,,,06-Dic-19,,,04-dic-20,,,03-dic-21,,,01-dic-22,,,04-dic-23,,,02-dic-24,,,,
Manómetro de presión,ND,ND,ND,MAP-DA-03,Validación,"Móvil, Almacén de Validación",Calibración,18,07-Dic-18,,,,06-Dic-19,,,04-dic-20,,,03-dic-21,,05-dic-22,,,,,,08-ene-24,,,,01-jul-25,
Manómetro de presión,ND,ND,ND,MAP-DA-04,NA,NA,NA,NA,,,,08-Mar-19,,,05-mar-20,,,05-mar-21,,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-DA-05,Desarrollo Analítico,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-DA-03",NA,NA,,,,08-Mar-19,,,05-mar-20,,,05-mar-21,,,03-mar-22,02-sep-22,,,,,,,,,,
Manómetro de presión,Ashcroft,ND,ND,MAP-LC-01,Control de Calidad,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-LC-01",Calibración,12,,16-Ago-18,,,15-Ago-19,,,18-ago-20,,,13-jul-21,,04-jul-22,,,03-jul-23,,,,01-jul-24,,,01-jul-25,
Manómetro de presión,TRU-FLATE,ND,ND,MAP-LC-02,NA,NA,NA,NA,,16-Ago-18,,,,,,,,,,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-LC-03,NA,NA,NA,NA,,17-Jul-18,,,,,,,,,,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-LC-04,Microbiología,"Preparación Microbiológica, en EST-LC-01",Calibración,12,,27-Sep-18,,,06-Sep-19,,,04-sep-20,,,02-sep-21,,02-sep-22,,,,04-sep-23,,,02-sep-24,,,01-sep-25,
Manómetro de presión,Tube&Socket,"304SS Case, 316SS",ND,MAP-LC-05,Control de Calidad,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-LC-02",Calibración,12,,12-Nov-18,,,11-Nov-19,,,10-nov-20,,,04-nov-21,,,04-nov-22,,,01-nov-23,,,01-nov-24,,,,
Manómetro de presión,Tube&Socket,"304SS Case, 316SS",ND,MAP-LC-06,NA,NA,NA,NA,,12-Nov-18,,,11-Nov-19,,,10-nov-20,,,04-nov-21,,,04-nov-22,,,01-nov-23,,,,,,,
Manómetro de presión,NA,NA,NA,MAP-LC-07,NA,NA,NA,NA,,15-Dic-18,,,06-dic-19,,,04-dic-20,,,03-dic-21,,,01-dic-22,,,,,,,,,,
Manómetro de presión,NA,NA,NA,MAP-LC-08,Microbiología,"Microbiología, en BOV-LC-03",NA,NA,,,,,23-Sep-19,,,03-sep-20,,,01-sep-21,,02-sep-22,,,,,,,,,,,
Manómetro de presión,ND,4CFE4A,ND,MAP-LC-09,NA,NA,NA,NA,,,,,06-Dic-19,,,04-dic-20,,,10-dic-21,,,01-dic-22,,,04-dic-23,,,,,,,
Manómetro de presión,NA,NA,NA,MAP-LC-10,Microbiología,"Preparación Microbiológica, en MUE-LC-02",Calibración,12,,,,,,,,01-oct-20,,,04-oct-21,,03-oct-22,,,,03-oct-23,,,02-oct-24,,,,
Manómetro de presión,ND,ND,ND,MAP-LC-11,Control de Calidad,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-LC-04",Calibración,12,,,,,,,,,,06-may-21,,,03-may-22,,,02-may-23,,,02-may-24,,,02-may-25,,
Manómetro de presión,Wika,ND,ND,MAP-MI-01,Microbiología,"Preparación Microbiológica, en EST-MI-01.",Calibración,12,,,,,,,,,,,,,18-abr-22,,,03-abr-23,,,01-abr-24,,,01-abr-25,,
Manómetro de presión,NA,NA,NA,MAP-MA-01,NA,NA,NA,NA,15-May-18,,,09-May-19,,,06-may-20,,,06-may-21,,,03-may-22,,,,,,,,,,,
Manómetro de presión,Winters,NA,NA,MAP-MA-02,NA,NA,NA,NA,15-May-18,,,,,,,,,,,,,,,,,,,,,,,
Manómetro de presión,PRO-BLOCK,NA,NA,MAP-MA-03,NA,NA,NA,NA,,24-Jul-18,,,18-Jul-19,,,,,,,,,,,,,,,,,,,
Manómetro de presión,PRO-BLOCK,NA,NA,MAP-MA-04,NA,NA,NA,NA,,24-Jul-18,,,18-Jul-19,,,17-jul-20,,,,,,,,,,,,,,,,
Manómetro de presión,Puroflo,ND,ND,MAP-MA-05,NA,NA,NA,NA,,11-Oct-18,,,02-Oct-19,,,30-sep-20,,,02-sep-21,,,,,,,,,,,,,
Manómetro de presión,Winters,ND,ND,MAP-MA-06,NA,NA,NA,NA,,11-Oct-18,,,,,,,,,,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-MA-07,NA,NA,NA,NA,,11-Oct-18,,,,,,,,,,,,,,,,,,,,,,
Manómetro de presión,Dwyer Instruments,Minihelic II,194589-00,MAP-MA-08,Mantenimiento,"Piso Técnico, en Extractor de polvos",Calibración,12,,11-Oct-18,,,02-Oct-19,,,30-sep-20,,,02-sep-21,,02-sep-22,,,,04-sep-23,,02-sep-24,,,,01-sep-25,
Manómetro de presión,ND,ND,ND,MAP-MA-09,NA,NA,NA,NA,,11-Oct-18,,,,,,,,,,,,,,,,,,,,,,
Manómetro de presión,ND,EN837.1,ND,MAP-MA-10,NA,NA,NA,NA,,11-Oct-18,,,02-Oct-19,,,30-sep-20,,,02-sep-21,,,,,,,,,,,,,
Manómetro de presión,ND,EN837.1,ND,MAP-MA-11,NA,NA,NA,NA,,11-Oct-18,,,02-Oct-19,,,30-sep-20,,,02-sep-21,,,,,,,,,,,,,
Manómetro de presión,NA,HT-K16,NA,MAP-MA-12,NA,NA,NA,NA,,12-Nov-18,,,11-Nov-19,,,,,,,,,,,,,,,,,,,
Manómetro de presión,NA,HT-K16,NA,MAP-MA-13,Mantenimiento,Almacén de Validación,Calibración,12,,12-Nov-18,,,11-Nov-19,,,10-nov-20,,,04-nov-21,,,03-nov-22,,,14-dic-23,,,05-dic-24,,,,
Manómetro de presión,Winters,PFQ-LF,Z1867,MAP-MA-14,NA,NA,NA,NA,,12-Nov-18,,,11-Nov-19,,,,,,,,,,,,,,,,,,,
Manómetro de presión,Winters,PFQ-LF,Z2228,MAP-MA-15,NA,NA,NA,NA,,12-Nov-18,,,11-Nov-19,,,10-nov-20,,,04-nov-21,,,,,,,,,,,,,
Manómetro de presión,Winters,PFQ-LF,Z222,MAP-MA-16,NA,NA,NA,NA,,23-Nov-18,,,11-Nov-19,,,10-nov-20,,,04-nov-21,,,03-nov-22,,,01-nov-23,,,01-nov-24,,,,
Manómetro de presión,Winters,PFQ-LF,Z0958,MAP-MA-17,NA,NA,NA,NA,,12-Nov-18,,,11-Nov-19,,,,,,,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-MA-18,NA,NA,NA,NA,,18-Dic-18,,,,,,,,,,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-MA-19,NA,NA,NA,NA,,18-Dic-18,,,06-Dic-19,,,04-dic-20,,,10-dic-21,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-MA-20,NA,NA,NA,NA,,,,06-Jun-19,,,08-jun-20,,,06-may-21,,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-MA-21,NA,NA,NA,NA,,,,,,,,10-nov-20,,,04-nov-21,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-MA-22,Mantenimiento,"Piso Técnico, en Tanque Hidroneumático #1",Calibración,12,,,,,,,,,,,03-dic-21,,,01-dic-22,,,14-dic-23,,,05-dic-24,,,,
Manómetro de presión,ND,ND,ND,MAP-MA-23,Mantenimiento,"Cuarto Técnico, en Ósmosis Inversa",Calibración,12,,,,,,,,,,,03-dic-21,,,01-dic-22,,,14-dic-23,,,05-dic-24,,,,
Manómetro de presión,ND,ND,ND,MAP-MA-24,Mantenimiento,"Cuarto Técnico, antes de filtros suavizadores.",Calibración,12,,,,,,,,,,,03-dic-21,,,01-dic-22,,,14-dic-23,,,05-dic-24,,,,
Manómetro de presión,SMC,BG,ND,MAP-MA-25,Mantenimiento,"Encapsulado y Abrillantado 4, en AC-03",Calibración,6,,,,,,,,,,,,,06-jun-22,01-dic-22,,01-jun-23,04-dic-23,,04-jun-24,04-dic-24,,02-jun-25,,
Manómetro de presión,SMC,BG,ND,MAP-MA-26,Mantenimiento,"Lavado, en AC-06",Calibración,6,,,,,,,,,,,,,06-jun-22,01-dic-22,,01-jun-23,04-dic-23,,04-jun-24,04-dic-24,,02-jun-25,,
Manómetro de presión,SMC,BG,ND,MAP-MA-27,Mantenimiento,"Recubrimiento, en AC-11",Calibración,6,,,,,,,,,,,,,06-jun-22,01-dic-22,,01-jun-23,04-dic-23,,04-jun-24,02-dic-24,,02-jun-25,,
Manómetro de presión,SMC,BG,ND,MAP-MA-28,Mantenimiento,"Recubrimiento, en AC-12",Calibración,6,,,,,,,,,,,,,06-jun-22,01-dic-22,,01-jun-23,04-dic-23,,04-jun-24,02-dic-24,,02-jun-25,,
Manómetro de presión,SMC,BG,ND,MAP-MA-29,Mantenimiento,"Desarrollo Farmaceútico, en AC-10",Calibración,6,,,,,,,,,,,,,06-jun-22,01-dic-22,,03-jun-23,04-dic-23,,04-jun-24,02-dic-24,,03-jun-25,,
Manómetro de presión,SMC,BG,ND,MAP-MA-30,Mantenimiento,"Acondicionamiento Primario Blíster, en AC-13",Calibración,6,,,,,,,,,,,,,06-jun-22,01-dic-22,,01-jun-23,04-dic-23,,04-jun-24,02-dic-24,,02-jun-25,,
Manómetro de presión,ND,ND,ND,MAP-MA-31,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Manómetro de presión,SMC,BG,ND,MAP-MA-32,Mantenimiento,"Piso técnico, en Colector de polvos (AC-02)",Calibración,12,,,,,,,,,,,,,,,,05-abr-23,,,01-abr-24,,,01-abr-25,,
Manómetro de presión,SMC,BG,ND,MAP-MA-33,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Manómetro de presión,SMC,BG,ND,MAP-MA-34,Mantenimiento,"Encapsulado y Abrillantado #5, en AC-04",Calibración,6,,,,,,,,,,,,,,,,,04-sep-23,,04-mar-24,02-sep-24,,03-mar-25,01-sep-25,
Manómetro de presión,SMC,BG,ND,MAP-MA-35,Mantenimiento,"Encapsulado y Abrillantado 1, en AC-07",Calibración,6,,,,,,,,,,,,,,,,,04-sep-23,,04-mar-24,02-sep-24,,03-mar-25,01-sep-25,
Manómetro de presión,ND,ND,ND,MAP-MA-36,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Manómetro de presión,Dewit,ND,ND,MAP-MA-37,Mantenimiento,"Cuarto Técnico, en salida del Tanque Pulmón de aire comprimido",Calibración,12,,,,,,,,,,,,,,,,,11-oct-23,,,10-oct-24,,,,
Manómetro de presión,Aquex,ND,ND,MAP-MA-38,Mantenimiento,"Cuarto Técnico, en Tanque hidroneumático (TH 02)",Calibración,12,,,,,,,,,,,,,,,,,,,,05-dic-24,,,,
Manómetro de presión,SMC,150 PSI,ND,MAP-PR-01,NA,NA,NA,NA,,16-Ago-18,,,15-Ago-19,,,18-ago-20,,,13-jul-21,,,,,,,,,,,,,
Manómetro de presión,ENERPAC,G2535L,180515,MAP-PR-02,NA,NA,NA,NA,,12-Nov-18,,,,,,,,,,,,,,,,,,,,,,
Manómetro de presión,ENERPAC,G2535L,180511,MAP-PR-03,NA,NA,NA,NA,,12-Nov-18,,,11-Nov-19,,,,,,,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-PR-04,NA,NA,NA,NA,,,,08-Mar-19,,,05-mar-20,,,04-mar-21,,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-PR-05,NA,NA,NA,NA,,,,08-Mar-19,,,05-mar-20,,,04-mar-21,,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-PR-06,NA,NA,NA,NA,,,,08-Mar-19,,,,,,,,,,,,,,,,,,,,
Manómetro de presión,ND,ND,ND,MAP-PR-07,NA,NA,NA,NA,,,,08-Mar-19,,,05-mar-20,,,,,,,,,,,,,,,,,
Manómetro de presión,ND,4CFL6A,ND,MAP-PR-08,Validación,"Móvil, Almacén de Validación",Calibración,12,,,,,06-Dic-19,,,04-dic-20,,,10-dic-21,,,01-dic-22,,,06-dic-23,,,02-dic-24,,,,
Manómetro de presión,ND,4CFL6A,ND,MAP-PR-09,NA,NA,NA,NA,,,,,06-Dic-19,,,04-dic-20,,,10-dic-21,,,,,,,,,,,,,
Manómetro de presión,NA,NA,NA,MAP-PR-10,Fabricación ,"Acondicionamiento Primario Llenado de Frascos, en TAP-AC-01",Calibración,12,,,,,,,,,,06-may-21,,,03-may-22,,,02-may-23,,,02-may-24,,,02-may-25,,
Manómetro de presión,NA,NA,NA,MAP-PR-11,Fabricación ,"Acondicionamiento Primario Llenado de Frascos, en CON-AC-02",Calibración,12,,,,,,,,,,06-may-21,,,03-may-22,,,02-may-23,,,02-may-24,,,02-may-25,,
Manómetro de presión,NA,NA,3,MAP-PR-12,NA,NA,NA,NA,,,,,,,,,,06-may-21,,,,,,,,,,,,,,
Manómetro de presión,NA,MPG-28,NA,MAP-PR-13,NA,NA,NA,NA,,,,,,,,,,,,,31-ene-22,,20-dic-22,,14-dic-23,,,,,,,
Manómetro de presión,MASS,63-GFB-B-L-13-C-RANGE-KG/CM2-GR-UF,20BB7313,MAP-FR-14,Fabricación ,"Recubrimiento, en REC-FR-02",Calibración,12,,,,,,,,,,,,,09-abr-22,,,03-abr-23,,,01-abr-24,,,01-abr-25,,
Manómetro de presión,MASS,63-GFB-B-L-13-C-RANGE-KG/CM2-GR-UF,20BB7320,MAP-FR-15,Fabricación ,"Recubrimiento, en REC-FR-02",Calibración,12,,,,,,,,,,,,,09-abr-22,,,03-abr-23,,,01-abr-24,,,01-abr-25,,
Manómetro de presión,ND,ND,ND,MAP-FR-16,Fabricación,"Acondicionamiento Primario Blíster, en BLI-FR-02.",Calibración,12,,,,,,,,,,,,,,20-dic-22,,,04-dic-23,,,02-dic-24,,,,
Manómetro de presión,SNS,ND,ND,MAP-FR-17,Fabricación,"Abrillantadora, ABR-FR-02",Calibración,12,,,,,,,,,,,,,,,,11-ene-23,,,08-ene-24,,02-dic-24,,,
Manómetro de presión,SNS,ND,ND,MAP-FR-18,Fabricación,"Abrillantadora, ABR-FR-03",Calibración,12,,,,,,,,,,,,,,,,11-ene-23,,,08-ene-24,,02-dic-24,,,
Manómetro de presión,ND,ND,ND,MAP-FR-19,Validación,"Móvil, Almacén de Validación",Calibración,18,,,,,,,,,,,,,,,,27-ene-23,,,08-ene-24,,,,01-jul-25,
Manómetro de presión,ND,ND,ND,MAP-FR-20,Validación,"Móvil, Almacén de Validación",NA,NA,,,,,,,,,,,,,,,,27-ene-23,,,08-ene-24,,,,01-jul-25,
Manómetro de presión,Power Team,9055,ND,MAP-FR-21,Fabricación,"Tableteado 1, en TAB-PR-01",Calibración,12,,,,,,,,,,,,,,,,,01-nov-23,,,01-nov-24,,,,
Manómetro de presión,MC,KAOGEER,NA,MAP-FR-22,Fabricación,"Acondicionamiento Secundario Blíster, en ENA-FR-01",Calibración,12,,,,,,,,,,,,,,,,,,,14-feb-24,,,04-feb-25,,
Manómetro de presión,DEWIT,2000CB,03220100758,MAP-FR-23,Fabricación,"Tableteado 2, en TAB-FR-02",Calibración,12,,,,,,,,,,,,,,,,,,,04-jun-24,,,03-jun-25,,
Manómetro de presión,Dräger,B8336,4132290582,MAP-VA-01,Validación,"Móvil, Almacén de Validación",Calibración,12,,,,09-May-19,,,06-may-20,,,,13-jul-21,,04-jul-22,,,03-jul-23,,,,01-jul-24,,,01-jul-25,
Manómetro de vacio,Instrutek,ND,ND,MAV-VA-01,Validación,"Móvil, Almacén de Validación",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Manómetro de vacio,DEWIT,ND,ND,MAV-VA-02,Validación,"Móvil, Almacén de Validación",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Manómetro de vacío,NA,NA,NA,MAV-CP-01,NA,NA,NA,NA,,24-Jul-18,,,18-Jul-19,,,17-jul-20,,,13-jul-21,,04-jul-22,,,,,,,,,,,
Manómetro de vacío,ND,927,ND,MAV-DA-01,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Manómetro de vacío,Tube&Socket,"304SS Case, 316SS",4CFDA8A,MAV-DA-02,Desarrollo Analítico,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-DA-01",Calibración,12,,11-Oct-18,,,02-Oct-19,,,30-sep-20,,,02-sep-21,,02-sep-22,,,,04-sep-23,,,02-sep-24,,,01-sep-25,
Manómetro de vacío,Tube&Socket,"304SS Case, 316SS",4CFD8A,MAV-DA-03,Control de Calidad,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-LC-01",Calibración,12,,12-Nov-18,,,11-Nov-19,,,10-nov-20,,,04-nov-21,,04-nov-22,,,,01-nov-23,,,01-nov-24,,,,
Manómetro de vacío,ND,ND,ND,MAV-DA-04,NA,NA,NA,NA,,,,08-Mar-19,,,05-mar-20,,,05-mar-21,,,,,,,,,,,,,,
Manómetro de vacío,ND,ND,ND,MAV-DA-05,Desarrollo Analítico,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-DA-03",Calibración,12,,,,08-Mar-19,,,05-mar-20,,,05-mar-21,,,03-mar-22,,,01-mar-23,,,01-mar-24,,,03-mar-25,,
Manómetro de vacío,ND,4CFD8A,ND,MAV-DA-06,Desarrollo Analítico,"Móvil (Análisis Instrumental I, Análisis Instrumental II, Análisis Fisicoquímicos y Disolución), en BOV-DA-02",Calibración,12,,,,,06-Dic-19,,,04-dic-20,,,03-dic-21,,01-dic-22,,,,04-dic-23,,,02-dic-24,,,,
Manómetro de vacío,ND,ND,ND,MAV-DA-07,Desarrollo Analítico,"Análisis Instrumental II, en ESE-DA-01",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Manómetro de vacio,Instrutek,ND,ND,MAV-FR-01,Fabricación,"Encapsulado y Abrillantado 4, en ENC-PR-04 (bomba)",Calibración,12,,,,,,,,,,,,,03-oct-22,,,,02-oct-23,,,02-oct-24,,,,
Manómetro de vacio,DEWIT,255/63/VACIO,6211205373,MAV-FR-02,NA,NA,NA,NA,,,,,,,,,,,,,10-nov-22,,,,,,,,,,,
Manómetro de vacio,Manometer,ND,ND,MAV-FR-03,Fabricación,"Acondicionamiento Primario Blíster, en BLI-FR-02 (Bomba de vacío)",Calibración,12,,,,,,,,,,,,,,20-dic-22,,,04-dic-23,,,02-dic-24,,,,
Manómetro de vacio,Huayi,ND,ND,MAV-FR-04,Fabricación,"Encapsulado y Abrillantado #5, en ENC-FR-05",Calibración,12,,,,,,,,,,,,,,,,11-ene-23,,,08-ene-24,,04-dic-24,,,
Manómetro de vacio,Huayi,ND,ND,MAV-FR-05,Fabricación,"Encapsulado y Abrillantado 4, en ENC-FR-06",Calibración,12,,,,,,,,,,,,,,,,,28-ago-23,,,01-ago-24,,,01-ago-25,
